Name                                                                                        Stmts   Miss  Cover
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/__init__                           0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/ar/__init__                        0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/ar/ar_provinces                    2      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/ar/forms                          61      3    95%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/at/__init__                        0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/at/at_states                      10      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/at/forms                          27      1    96%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/au/__init__                        0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/au/au_states                       1      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/au/forms                          25      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/br/__init__                        0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/br/br_states                       2      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/br/forms                         104      6    94%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/ca/__init__                        0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/ca/ca_provinces                   32      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/ca/forms                          68      3    96%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/ch/__init__                        0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/ch/ch_states                       2      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/ch/forms                          67      6    91%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/cl/__init__                        0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/cl/cl_regions                      2      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/cl/forms                          46      3    93%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/de/__init__                        0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/de/de_states                       2      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/de/forms                          47      3    94%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/es/__init__                        0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/es/es_provinces                    2      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/es/es_regions                      2      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/es/forms                          74      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/fi/__init__                        0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/fi/fi_municipalities             417      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/fi/forms                          27      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/fr/__init__                        0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/fr/forms                          25      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/fr/fr_department                   1      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/generic/__init__                   0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/generic/forms                     11      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/is_/__init__                       0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/is_/forms                         38      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/is_/is_postalcodes                 1      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/it/__init__                        0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/it/forms                          49      6    88%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/it/it_region                       1      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/it/util                           25      3    88%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/jp/__init__                        0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/jp/forms                          14      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/jp/jp_prefectures                  2      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/nl/__init__                        0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/nl/forms                          53      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/nl/nl_provinces                    2      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/pl/__init__                        0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/pl/forms                          74      2    97%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/pl/pl_administrativeunits          2      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/pl/pl_voivodeships                 2      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/ro/__init__                        0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/ro/forms                         110     81    26%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/sk/__init__                        0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/sk/forms                          17      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/sk/sk_districts                    2      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/sk/sk_regions                      2      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/uk/__init__                        0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/uk/forms                          27      4    85%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/us/__init__                        0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/us/forms                          57      5    91%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/us/models                         26      6    77%
