Name                                                                                                                               Stmts   Miss  Cover
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/uk/forms                          27      4    85%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/us/__init__                        0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/us/forms                          58      5    91%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/us/models                         20      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/us/us_states                       2      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/uy/__init__                        0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/uy/forms                          27      2    93%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/uy/util                            7      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/uy/uy_departaments                 2      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/za/__init__                        0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/localflavor/za/forms                          30      1    97%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/markup/__init__                                0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/markup/models                                  0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/markup/templatetags/__init__                   0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/markup/templatetags/markup                    46     16    65%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/markup/tests                                  45     10    78%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/messages/__init__                              2      0   100%
