Name                                                                                                                                    Stmts   Miss  Cover
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/gis/tests/__init__                                 71     60    15%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/humanize/__init__                                   0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/humanize/templatetags/__init__                      0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/humanize/templatetags/humanize                     71      3    96%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/localflavor/__init__                                0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/localflavor/ar/__init__                             0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/localflavor/ar/ar_provinces                         2      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/localflavor/ar/forms                               62      3    95%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/localflavor/at/__init__                             0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/localflavor/at/at_states                           10      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/localflavor/at/forms                               31      1    97%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/localflavor/au/__init__                             0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/localflavor/au/au_states                            1      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/localflavor/au/forms                               26      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/localflavor/be/__init__                             0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/localflavor/be/be_provinces                         2      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/localflavor/be/be_regions                           2      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/localflavor/be/forms                               21      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/localflavor/br/__init__                             0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/localflavor/br/br_states                            2      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/contrib/localflavor/br/forms                              101      2    98%
