Name                                                                                                Stmts   Miss  Cover
/home/gdub/tmp/metrics/2011-10-26/django/contrib/contenttypes/management                               34     16    53%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/contenttypes/models                                   94      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/contenttypes/tests                                    69      1    99%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/contenttypes/views                                    47     17    64%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/databrowse/__init__                                    3      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/databrowse/datastructures                            147    102    31%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/databrowse/plugins/__init__                            0      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/databrowse/plugins/calendars                          71     37    48%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/databrowse/plugins/fieldchoices                       49     31    37%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/databrowse/plugins/objects                            12      5    58%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/databrowse/sites                                      82     49    40%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/flatpages/__init__                                     0      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/flatpages/admin                                       11      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/flatpages/forms                                       18      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/flatpages/middleware                                  15      4    73%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/flatpages/models                                      20      1    95%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/flatpages/templatetags/__init__                        0      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/flatpages/templatetags/flatpages                      41      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/flatpages/tests/__init__                               5      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/flatpages/tests/csrf                                  55      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/flatpages/tests/forms                                 30      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/flatpages/tests/middleware                            99      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/flatpages/tests/templatetags                          49      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/flatpages/tests/views                                 84      2    98%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/flatpages/views                                       34      2    94%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/formtools/__init__                                     0      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/formtools/models                                       0      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/formtools/preview                                     65      6    91%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/formtools/tests/__init__                             225      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/formtools/tests/forms                                 32      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/formtools/tests/wizard/__init__                        6      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/formtools/tests/wizard/cookiestorage                  30      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/formtools/tests/wizard/forms                         134      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/formtools/tests/wizard/loadstorage                    10      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/formtools/tests/wizard/namedwizardtests/__init__       0      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/formtools/tests/wizard/namedwizardtests/forms         27      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/formtools/tests/wizard/namedwizardtests/tests        159      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/formtools/tests/wizard/sessionstorage                  6      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/formtools/tests/wizard/storage                        50      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/formtools/tests/wizard/wizardtests/__init__            0      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/formtools/tests/wizard/wizardtests/forms              38      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/formtools/tests/wizard/wizardtests/tests             151      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/formtools/utils                                       34      2    94%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/formtools/wizard/__init__                              1      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/formtools/wizard/forms                                 3      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/formtools/wizard/legacy                               93      7    92%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/formtools/wizard/storage/__init__                     15      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/formtools/wizard/storage/base                         62      3    95%
/home/gdub/tmp/metrics/2011-10-26/django/contrib/formtools/wizard/storage/cookie                       25      1    96%
