Name                                                                               Stmts   Miss  Cover
/home/gdub/tmp/metrics/2007-07-13/django/test/testcases                               76     53    30%
/home/gdub/tmp/metrics/2007-07-13/django/test/utils                                  104     68    35%
/home/gdub/tmp/metrics/2007-07-13/django/utils/__init__                                0      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/utils/cache                                  76     63    17%
/home/gdub/tmp/metrics/2007-07-13/django/utils/datastructures                        162    111    31%
/home/gdub/tmp/metrics/2007-07-13/django/utils/dateformat                            153    101    34%
/home/gdub/tmp/metrics/2007-07-13/django/utils/dates                                   8      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/utils/encoding                               40     20    50%
/home/gdub/tmp/metrics/2007-07-13/django/utils/functional                             71     29    59%
/home/gdub/tmp/metrics/2007-07-13/django/utils/html                                   73     40    45%
/home/gdub/tmp/metrics/2007-07-13/django/utils/http                                   13      5    62%
/home/gdub/tmp/metrics/2007-07-13/django/utils/itercompat                             34     26    24%
/home/gdub/tmp/metrics/2007-07-13/django/utils/simplejson/__init__                    34     20    41%
/home/gdub/tmp/metrics/2007-07-13/django/utils/simplejson/decoder                    168     54    68%
/home/gdub/tmp/metrics/2007-07-13/django/utils/simplejson/encoder                    178    154    13%
/home/gdub/tmp/metrics/2007-07-13/django/utils/simplejson/scanner                     48      5    90%
/home/gdub/tmp/metrics/2007-07-13/django/utils/termcolors                             24     15    38%
/home/gdub/tmp/metrics/2007-07-13/django/utils/text                                  138    109    21%
/home/gdub/tmp/metrics/2007-07-13/django/utils/translation/__init__                   60     16    73%
/home/gdub/tmp/metrics/2007-07-13/django/utils/translation/trans_real                305    196    36%
/home/gdub/tmp/metrics/2007-07-13/django/utils/tzinfo                                 41     23    44%
/home/gdub/tmp/metrics/2007-07-13/django/utils/xmlutils                                8      5    38%
/home/gdub/tmp/metrics/2007-07-13/django/views/__init__                                0      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/views/generic/__init__                        0      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/views/generic/date_based                    175    162     7%
------------------------------------------------------------------------------------------------------
TOTAL                                                                              14661   8978    39%
